allotype;allotype
epitype;epitype
holotype (illustrated);holotype
holotype, illustrated;holotype
holotype;holotype
isoepitype;isoepitype
isolectotype;isolectotype
isoneotype;isoneotype
isosyntype;isosyntype
isotype;isotype
lectotype (illustrated);lectotype
lectotype;lectotype
lectotype;lectotype
neotype;neotype
Paralecto;paralectotype
paralectotype (illustrated);paralectotype
paralectotypes;paralectotype
paralectotypes (illustrated);paralectotype
paralectotype;paralectotype
paratype;paratype
paratypes;paratype
paratype, illustrated;paratype
paratype (illustrated);paratype
syntype (illustrated);syntype
syntypes;syntype
syntypes (illustrated);syntype
syntype;syntype
topotype;topotype
topotypes;topotype
